,CATEGORY,FRAGMENTS,FREQUENCY
4532,No ,[14*]c1ccc[nH]1,6
4533,No ,[14*]c1cc(Br)cs1,6
4534,No ,[14*]c1ccc(Cl)o1,6
4535,No ,[14*]c1nc2ccc(C)cc2s1,6
4536,No ,[9*]n1c(C)c([16*])c2cc([16*])ccc21,6
4537,No ,[14*]c1cc2ccccc2c(=O)[nH]1,6
4538,No ,[16*]c1cc(C#N)ccc1F,6
4539,No ,[14*]c1nc2cc([16*])ccc2o1,6
4540,No ,[16*]c1ccc2nc3n(c(=O)c2c1)CCC3,6
4541,No ,[15*]C1CC2CCC1O2,6
4542,No ,[16*]c1ccc(O)c([16*])c1,6
4543,No ,[6*]C(=O)n1nc(N)c2ccccc21,6
4544,No ,[15*]C1CCCC1[15*],6
4545,No ,[14*]c1cc2c(Cl)c(Cl)ccc2[nH]1,6
4546,No ,[15*]C1(O)CCCCC1,6
4547,No ,[9*]n1cnc2cc(C)c(C)cc21,6
4548,No ,[15*]C1CC=CC1,6
4549,No ,[8*]CCCC,6
4550,No ,[10*]N1C(=O)NC([13*])([13*])C1=O,6
4551,No ,[9*]n1nnc2cc([16*])ccc21,6
4552,No ,[16*]c1ccc2[nH]c3c(c2c1)CC(C)CC3,6
4553,No ,[14*]c1ncc(Cl)c([14*])n1,6
4554,No ,[5*]N1CC[C@@H](N)C1,6
4555,No ,[5*]N1CCN(S(=O)(=O)N(C)C)CC1,6
4556,No ,[16*]c1cccc(F)c1F,6
4557,No ,[16*]c1ccccc1S(C)(=O)=O,6
4558,No ,[14*]c1nc2ccc(F)cc2s1,6
4559,No ,[16*]c1cc([16*])c([16*])c(Cl)c1,6
4560,No ,[5*]N1CCCC(C)CC1,6
4561,No ,[15*]C1CNC(=O)C1,6
4562,No ,[4*]CC([8*])C,6
4563,No ,[9*]n1cnnc1C,6
4564,No ,[14*]c1cc([14*])n2ncnc2n1,6
4565,No ,[9*]n1c(=O)cnc2ccccc21,6
4566,No ,[14*]c1cc([16*])c(C)s1,6
4567,No ,[16*]c1cc(F)c(Cl)cc1Cl,6
4568,No ,[14*]c1ncnn1C,6
4569,No ,[16*]c1ccccc1I,6
4570,No ,[16*]c1ccc(Cl)c(C#N)c1,6
4571,No ,[9*]n1c([14*])nc2cc(Cl)ccc21,6
4572,No ,[16*]c1ccc(Cl)c(F)c1,6
4573,No ,[16*]c1cnc2c(c1)ncn2C,6
4574,No ,[16*]c1cc(F)ccc1Br,6
4575,No ,[16*]c1cc([16*])cc(C)c1,6
4576,No ,[14*]c1nc([14*])c(C)c(C)n1,6
4577,No ,[14*]c1ccc2nccnc2n1,6
4578,No ,[15*]C1C2CCCCC12,6
4579,No ,[14*]c1nc(C)c(C)s1,6
4580,No ,[14*]c1cn2cc(C)ccc2n1,6
4581,No ,[9*]n1cnc2c(C)cccc2c1=O,6
4582,No ,[9*]n1nc(C)c(C)c(C#N)c1=O,6
4583,No ,[4*]CCCO,6
4584,No ,[14*]c1cc2cccc([16*])c2o1,6
4585,No ,[5*]N1CCn2c([14*])nnc2C1,6
4586,No ,[16*]c1ccn(C)c(=O)c1,6
4587,No ,[14*]c1nc2ccccc2nc1[14*],6
4588,No ,[9*]n1ncc2ccccc21,6
4589,No ,[15*]C1CC(=O)N(C)C1,6
4590,No ,[4*]CC(C)(C)O,6
4591,No ,[14*]c1nc2ccccn2c1[N+](=O)[O-],6
4592,No ,[14*]c1nnc2n1CC([15*])CC2,6
4593,No ,[13*]C1CC([15*])CCO1,6
4594,No ,[15*]C1C2C3CCC(C3)C12,6
4595,No ,[14*]c1cc(=O)n2c(C)csc2n1,6
4596,No ,[15*]C1CCN(C)C1=O,6
4597,No ,[1*]C(=O)C([4*])(C)C,6
4598,No ,[14*]c1cn2cc(Cl)cc(Cl)c2n1,6
4599,No ,[14*]c1cc2cc(C)ccc2o1,6
4600,No ,[14*]c1ccc(Br)cn1,6
4601,No ,[5*]NC1CCC(C)(C)c2ccccc21,6
4602,No ,[16*]c1ccc(F)c(C#N)c1,6
4603,No ,[5*]N1CCCc2cccc([16*])c21,6
4604,No ,[5*]N1CC([15*])CC1C,6
4605,No ,[16*]c1ccccc1N,6
4606,No ,[5*]N1CCCN2CCCC2C1,6
4607,No ,[14*]c1nc2ccc([16*])cc2[nH]1,6
4608,No ,[9*]n1c(=O)[nH]c(=O)c2c1nc([14*])n2C,6
4609,No ,[14*]c1nccn2cnnc12,6
4610,No ,[14*]c1cnc2ccccn12,6
4611,No ,[5*]N1CCC(N)C1,6
4612,No ,[5*]N1CCc2sccc2C1C,6
4613,No ,[15*]C1CC2CCC(C1)N2,6
4614,No ,[14*]c1cc2cc([16*])ccc2[nH]1,6
4615,No ,[14*]c1cc2c(C)cc(C)c(C)c2[nH]1,5
4616,No ,[14*]c1ncnc2[nH]ncc12,5
4617,No ,[9*]n1cc([N+](=O)[O-])ccc1=O,5
4618,No ,[13*][C@H]1[C@H]([15*])CCN1C,5
4619,No ,[16*]c1ccc(Cl)c2ncccc12,5
4620,No ,[14*]c1nc(C)n2c1CCCC2,5
4621,No ,[16*]c1ccc2nccnc2c1,5
4622,No ,[16*]c1c2c(nc3ccccc13)CCC2,5
4623,No ,[5*]N1CC(C)C([15*])C(C)C1,5
4624,No ,[9*]n1c(C)nc2ccccc2c1=O,5
4625,No ,[14*]c1nccn(C)c1=O,5
4626,No ,[14*]c1nnsc1[14*],5
4627,No ,[14*]c1cnc2ccc(C)cn12,5
4628,No ,[12*]S(=O)(=O)c1ccc([16*])c(C)c1,5
4629,No ,[8*]CN1C(=O)C(C)CNc2ccccc21,5
4630,No ,[13*][C@H]1OCC[C@@H]1[15*],5
4631,No ,[16*]c1ccc(F)c2cccnc12,5
4632,No ,[5*]N1CC[C@@H](O)C1,5
4633,No ,[5*]N1C[C@@H](O)C[C@@H]1[13*],5
4634,No ,[16*]c1ccc(C)nc1C,5
4635,No ,[9*]n1nc2cnccn2c1=O,5
4636,No ,[14*]c1cc([16*])c[nH]1,5
4637,No ,[8*]C([8*])CC,5
4638,No ,[14*]c1cc(C#N)c([14*])s1,5
4639,No ,[15*]C1CCOC(C)C1,5
4640,No ,[16*]c1cc2ccccn2c1,5
4641,No ,[14*]c1cn2cc(Br)ccc2n1,5
4642,No ,[14*]c1cc2ccccc2c([14*])n1,5
4643,No ,[5*]N(C)C[8*],5
4644,No ,[16*]c1cccc2ccccc12,5
4645,No ,[16*]c1c(C)nc2ccccc2c1[16*],5
4646,No ,[14*]c1[nH]c2ccc(F)cc2c1[16*],5
4647,No ,[5*]N1CCCC([15*])CC1,5
4648,No ,[12*]S(=O)(=O)c1ccc2c(c1)OCCO2,5
4649,No ,[16*]c1cc(Cl)c2c(c1)OCCO2,5
4650,No ,[5*]N1c2ccccc2NC(=O)C1(C)C,5
4651,No ,[5*]N1CCC(N)CC1,5
4652,No ,[16*]c1cc(F)c(F)cc1F,5
4653,No ,[16*]c1cc2cc(C)ccc2nc1C,5
4654,No ,[16*]c1ccc2nc(C)cn2c1,5
4655,No ,[9*]n1ncc([14*])n1,5
4656,No ,[14*]c1ncn(C)n1,5
4657,No ,[5*]N1c2ccccc2OCC1C,5
4658,No ,[16*]c1ccc([16*])c(C#N)c1,5
4659,No ,[15*]C1CCc2nnc(C)n2C1,5
4660,No ,[14*]c1ccnc2ccnn12,5
4661,No ,[5*]N1CCCc2cc(C)ccc21,5
4662,No ,[5*]N1CC(C)c2ccccc21,5
4663,No ,[13*]C1Cc2cc(Cl)ccc2O1,5
4664,No ,[3*]On1nnc2ccc(Cl)cc21,5
4665,No ,[16*]c1cn(C)c(=O)n(C)c1=O,5
4666,No ,[16*]c1cc(Cl)cc2c1OCOC2,5
4667,No ,[5*]N1CC(=O)Nc2cc([16*])ccc21,5
4668,No ,[16*]c1cccn(C)c1=O,5
4669,No ,[14*]c1cc(=O)n2cc(C)ccc2n1,5
4670,No ,[5*]N1CCCc2cc(F)c(F)cc21,5
4671,No ,[14*]c1nnc2sc3ccccc3n12,5
4672,No ,[5*]N1CC=C(c2c[nH]c3cccc(C)c23)CC1,5
4673,No ,[1*]C(=O)C(CC)CC,5
4674,No ,[16*]c1cccc(F)c1C,5
4675,No ,[5*]N1CCC([15*])C1[13*],5
4676,No ,[14*]c1ncn(C)c1[14*],5
4677,No ,[16*]c1c[nH]c(=O)c(C)c1,5
4678,No ,[4*]CCC[4*],5
4679,No ,[5*]N1CCN([10*])C(=O)C1,5
4680,No ,[16*]c1cc(F)cc2c1OCOC2,5
4681,No ,[16*]c1cc2ccc(C)cc2nc1C,5
4682,No ,[14*]c1cc(Cl)ccn1,5
4683,No ,[6*]C([6*])=O,5
4684,No ,[16*]c1ccc2c(c1)C(=O)NC2,5
4685,No ,[16*]c1cccc([N+](=O)[O-])c1C,5
4686,No ,[14*]c1cccnn1,5
4687,No ,[14*]c1csnn1,5
4688,No ,[5*]N1CCCN([5*])c2ccccc21,5
4689,No ,[16*]c1ccc(F)cc1C#N,5
4690,No ,[5*]N1CCCN(C)c2ccc(F)cc21,5
4691,No ,[9*]n1ccc2ccc([16*])cc21,5
4692,No ,[16*]c1ccc2cc([16*])c(C)nc2c1,5
4693,No ,[16*]c1cnc2ccc(F)cc2c1,5
4694,No ,[5*]N1CCCC(C)C1[13*],5
4695,No ,[9*]n1ccc([N+](=O)[O-])n1,5
4696,No ,[5*]N1CCC(C)c2ccccc21,5
4697,No ,[9*]n1nc([14*])c2c1CCCC2,5
4698,No ,[14*]c1[nH]c2ccc(F)cc2c1Cl,5
4699,No ,[12*]S(=O)(=O)c1ccccc1Cl,5
4700,No ,[16*]c1cnc2[nH]nc(C)c2c1,5
4701,No ,[14*]c1nc2cc(Cl)ccc2n1C,5
4702,No ,[9*]n1ccccc1=O,5
4703,No ,[14*]c1ccnc2c([16*])cnn12,5
4704,No ,[5*]N1C(C)CCC1C,5
4705,No ,[16*]c1ccc2nncn2c1,5
4706,No ,[16*]c1cc2c([16*])cc(=O)oc2cc1O,5
4707,No ,[16*]c1cc(C)nc2cc(F)ccc12,5
4708,No ,[14*]c1cc([16*])cn1C,5
4709,No ,[5*]N1CCc2ccc(F)cc21,5
4710,No ,[14*]c1sc2cc(F)ccc2c1Cl,5
4711,No ,[16*]c1cc(O)cc(O)c1,5
4712,No ,[8*]CS(=O)C([8*])C,5
4713,No ,[16*]c1c(C)nc2ccccc2c1C,5
4714,No ,[16*]c1cc([16*])c([16*])c(Br)c1,5
4715,No ,[5*]N1CCc2c(ncn2[9*])C1,5
4716,No ,[14*]c1ccn[nH]1,5
4717,No ,[13*]C1Oc2ccccc2OC1C,5
4718,No ,[5*]N1CCCc2cccc(F)c21,5
4719,No ,[4*]C(CC)C(N)=O,5
4720,No ,[9*]n1cnc2ccc(Br)cc2c1=O,5
4721,No ,[16*]c1ccc2c(c1)Cc1ccccc1-2,5
4722,No ,[15*]C1CCc2ccccc2NC1=O,4
4723,No ,[14*]c1cc([14*])sn1,4
4724,No ,[4*]C(C)CO,4
4725,No ,[9*]n1cc([16*])c(=O)c2cc(Cl)ccc21,4
4726,No ,[14*]c1ncc(Cl)cn1,4
4727,No ,[14*]c1nc2c(F)cccc2[nH]1,4
4728,No ,[5*]N1CC=C(c2ccc([16*])cc2)CC1,4
4729,No ,[5*]N1CC2CN3CCCCC3C2C1,4
4730,No ,[1*]C(=O)CCN1C(=O)C(C)Oc2ccccc21,4
4731,No ,[9*]n1cccc(C)c1=O,4
4732,No ,[16*]c1c(C)c(C)nc2ccccc12,4
4733,No ,[4*]C(C)(C)C(N)=O,4
4734,No ,[3*]On1nnc2ccccc21,4
4735,No ,[5*]N1CC(C)OCC1(C)C,4
4736,No ,[14*]c1ncnc2ccc(F)cc12,4
4737,No ,[14*]c1cc([16*])c2c(C)noc2n1,4
4738,No ,[14*]c1sc2ncnc([14*])c2c1C,4
4739,No ,[16*]c1ccc(Br)cc1C,4
4740,No ,[15*]C1CCN2CCCC2C1,4
4741,No ,[5*]N1CCS(=O)C(C)(C)C1,4
4742,No ,[14*]c1nnc2nc(C)cc(C)n12,4
4743,No ,[14*]c1ccc2cc(Br)ccc2n1,4
4744,No ,[4*]CC1CCCc2ccccc21,4
4745,No ,[5*]N1CCOc2cc(F)ccc21,4
4746,No ,[14*]c1cc(=O)n2ccccc2n1,4
4747,No ,[5*]N1CCN(C)c2ccc(F)cc21,4
4748,No ,[14*]c1ncnc2cc(F)c(F)cc12,4
4749,No ,[13*]C1(C)NC(=O)NC1=O,4
4750,No ,[12*]S(=O)(=O)c1cccc(C)c1,4
4751,No ,[4*]C1(C)CC([15*])C1(C)C,4
4752,No ,[16*]c1cccc(O)c1,4
4753,No ,[16*]c1cscc1C,4
4754,No ,[1*]C(=O)C1COc2ccccc21,4
4755,No ,[13*]C1CN(C)CCO1,4
4756,No ,[9*]n1c([N+](=O)[O-])cnc1C,4
4757,No ,[9*]n1ccnc1S(C)(=O)=O,4
4758,No ,[14*]c1nc2cc(F)ccc2n1C,4
4759,No ,[16*]c1cccc([16*])c1F,4
4760,No ,[15*]C1CCc2[nH]ncc2C1,4
4761,No ,[5*]N1CC2(CC2)c2ccccc21,4
4762,No ,[15*]C1CC([15*])(C)C1(C)C,4
4763,No ,[14*]c1ncc(Br)cc1C,4
4764,No ,[15*]C1CCCOC1,4
4765,No ,[14*]c1ccc(=O)[nH]n1,4
4766,No ,[8*]CN1C(=O)CC(C)Nc2ccccc21,4
4767,No ,[15*]C1CC([15*])C12CCC2,4
4768,No ,[14*]c1cc(=O)n2cccc(C)c2n1,4
4769,No ,[14*]c1cc(=O)c(O)co1,4
4770,No ,[14*]c1c([16*])c(C)nn1C,4
4771,No ,[16*]c1ccnc2ccccc12,4
4772,No ,[14*]c1ncc(C)cc1[16*],4
4773,No ,[5*]N1CCC(C)(C)C1,4
4774,No ,[14*]c1ccc2ccc(F)cc2n1,4
4775,No ,[15*]C1CC(=O)NC1=O,4
4776,No ,[8*]CS(=O)(=O)c1ccc(C)cc1,4
4777,No ,[4*]CC(O)CC,4
4778,No ,[9*]n1cc(F)ccc1=O,4
4779,No ,[16*]c1c(F)cc(C#N)cc1F,4
4780,No ,[5*]N1CCC2(CCNCC2)CC1,4
4781,No ,[14*]c1ncnc([14*])c1[16*],4
4782,No ,[10*]N1CCCCCCC1=O,4
4783,No ,[16*]c1cc(Cl)c(Cl)cc1Cl,4
4784,No ,[16*]c1cncc(F)c1,4
4785,No ,[14*]c1cc([14*])n2nc(C)c([16*])c2n1,4
4786,No ,[5*]N1CCC2(CC1)C([15*])CC2O,4
4787,No ,[14*]c1nc2c(C)cccc2c(=O)[nH]1,4
4788,No ,[16*]c1cc(Br)cc2c1OCC2,4
4789,No ,[5*]NC1CCc2cc(F)ccc21,4
4790,No ,[16*]c1ccc2c(c1)nc1n2CCCCC1,4
4791,No ,[5*]N1CCN2C(=O)NCC2C1,4
4792,No ,[14*]c1nccc(N)n1,4
4793,No ,[5*]N1CCN2CCCC2C1,4
4794,No ,[16*]c1cc(C)ccc1O,4
4795,No ,[16*]c1ccc([16*])c([16*])c1[16*],4
4796,No ,[16*]c1ccc2[nH]nnc2c1,4
4797,No ,[14*]c1noc2ncc([16*])cc12,4
4798,No ,[4*]C([8*])C(C)C,4
4799,No ,[16*]c1cncc(C)c1,4
4800,No ,[5*]N1CCc2sccc2C1CC,4
4801,No ,[14*]c1cncs1,4
4802,No ,[14*]c1nc2ccc(F)cc2n1C,4
4803,No ,[16*]c1cc([16*])c(C)c(F)c1,4
4804,No ,[14*]c1ncon1,4
4805,No ,[16*]c1c(C)[nH]c2ccc(F)cc12,4
4806,No ,[16*]c1cccc2c1OC(C)C2C,4
4807,No ,[8*]CS(=O)(=O)c1nnc([14*])n1[9*],4
4808,No ,[9*]n1ccc2ccccc21,4
4809,No ,[14*]c1cnc2c(C)cccn12,4
4810,No ,[5*]N1CCN(C)c2cc(F)ccc21,4
4811,No ,[5*]N1CCCc2cc(F)cc(F)c21,4
4812,No ,[5*]N([5*])C#N,4
4813,No ,[14*]c1nc2ccc([16*])cc2o1,4
4814,No ,[14*]c1[nH]nc(C)c1Br,4
4815,No ,[16*]c1cc(F)c([16*])cc1F,4
4816,No ,[5*]N1CC2CCCC2C1,4
4817,No ,[16*]c1c(N)n(C)c2ccccc2c1=O,4
4818,No ,[10*]N1C(=O)c2ccccc2OC(C)C1=O,4
4819,No ,[16*]c1cccc2c1ccn2C,4
4820,No ,[16*]c1ccc(C)c2ncccc12,4
4821,No ,[5*]N1CCCc2cc(Cl)ccc21,4
4822,No ,[16*]c1ccc2c(c1)CCNCC2,4
4823,No ,[16*]c1c(C)cccc1Cl,4
4824,No ,[5*]N1CCCC2(CCCCCC2)C1,4
4825,No ,[14*]c1nnc([14*])c2ccccc12,4
4826,No ,[12*]S(=O)(=O)c1cc(C)c(C)cc1C,4
4827,No ,[9*]n1ccc(=O)c2sccc21,4
4828,No ,[5*]N1CC(=O)NC2CCCCC21,4
4829,No ,[5*]N1CCC(C)C1,4
4830,No ,[5*]N1CCc2cnccc21,4
4831,No ,[9*]n1cnc2ccc(C)cc2c1=O,4
4832,No ,[15*]C1CC2CC1C1CCCC21,4
4833,No ,[14*]c1nc2cc(Cl)ccc2s1,4
4834,No ,[12*]S(=O)(=O)c1ccc(C)s1,4
4835,No ,[15*]C1CCCC(C)C1,4
4836,No ,[9*]n1c([14*])nc2ccccc2c1=O,4
4837,No ,[14*]c1cc(=O)n2ccsc2n1,4
4838,No ,[14*]c1ncc([16*])c(N)n1,4
4839,No ,[14*]c1nc2ccsc2c(=O)[nH]1,4
4840,No ,[16*]c1ccc(Br)c(C)c1,4
4841,No ,[16*]c1ccc(Br)cc1Cl,4
4842,No ,[9*]n1nc(C)c(Cl)c1C,4
4843,No ,[16*]c1ccc2nc(C)ccc2c1,4
4844,No ,[14*]c1nc2sccn2c1[14*],4
4845,No ,[9*]n1c([14*])cnc1[14*],4
4846,No ,[12*]S(=O)(=O)c1ccc(C)cc1Cl,4
4847,No ,[14*]c1ncc2ccccn12,4
4848,No ,[16*]c1cccc2c3c([nH]c12)CCCCC3,4
4849,No ,[14*]c1nnc2n1CCCC2,4
4850,No ,[14*]c1cc2ncnc([14*])c2s1,4
4851,No ,[16*]c1cccc2cn[nH]c12,4
4852,No ,[14*]c1ncc(C)c([16*])c1C,4
4853,No ,[16*]c1cc(Cl)c2c(c1)OCO2,4
4854,No ,[8*]CS(=O)c1cccc([16*])c1,3
4855,No ,[5*]N1c2ccccc2CCC1[13*],3
4856,No ,[5*]N1CCCC2CN(C)CCC21,3
4857,No ,[4*]C(C)C(C)C,3
4858,No ,[5*]N1CCc2ncnc([14*])c2C1,3
4859,No ,[5*]N1CCc2ccccc2C1CO,3
4860,No ,[15*]C1CCNC1=O,3
4861,No ,[14*]c1ncc(C)c(C)n1,3
4862,No ,[5*]N1CC=C(c2ccccc2)CC1,3
4863,No ,[16*]c1ccc2c(c1)nc(C)n2C,3
4864,No ,[9*]n1nc([14*])c2cnccc21,3
4865,No ,[5*]N1CCC(C)Sc2ccccc21,3
4866,No ,[9*]n1c(C)c(C)n2c3c(=O)[nH]c(=O)n(C)c3nc12,3
4867,No ,[8*]C([8*])C#N,3
4868,No ,[9*]n1nc2c(cc1=O)CCCC2,3
4869,No ,[9*]n1nc2c(c1[14*])CCC2,3
4870,No ,[15*]C1CC(C)C1,3
4871,No ,[5*]N1CC2C(C1)C2(C)C,3
4872,No ,[13*]C1Cc2ccccc2CN1,3
4873,No ,[15*]C1CS(=O)(=O)CC1O,3
4874,No ,[9*]n1cnc2cnccc2c1=O,3
4875,No ,[14*]c1cc(C#N)cs1,3
4876,No ,[16*]c1c[nH]c2cccc(Br)c12,3
4877,No ,[14*]c1ccc2cccc(Br)c2n1,3
4878,No ,[8*]CC#N,3
4879,No ,[14*]c1snc(C)c1[16*],3
4880,No ,[16*]c1cccc2ccc(C)nc12,3
4881,No ,[5*]N1C2CCC1CC([15*])(O)C2,3
4882,No ,[1*]C(=O)CC1c2ccccc2CCN1[5*],3
4883,No ,[15*]C1CC12CCCc1ccccc12,3
4884,No ,[9*]n1c([14*])n[nH]c1=O,3
4885,No ,[14*]c1ncc(C)o1,3
4886,No ,[5*]N1CCSCC1,3
4887,No ,[14*]c1nc2cc(C)nn2c2ccccc12,3
4888,No ,[15*]C1(O)CCC1,3
4889,No ,[14*]c1[nH]c2ccccc2c1Br,3
4890,No ,[15*]C1CCNC1,3
4891,No ,[14*]c1ncccc1[N+](=O)[O-],3
4892,No ,[14*]c1cc2ccc(F)cc2s1,3
4893,No ,[16*]c1cc(Cl)sc1Cl,3
4894,No ,[16*]c1cnc2cc(C)nn2c1C,3
4895,No ,[14*]c1c2c(nn1C)CCC2,3
4896,No ,[14*]c1ncnc2nc(N)ccc12,3
4897,No ,[5*]N1CCc2cc([16*])c([16*])cc2C1c1ccccc1,3
4898,No ,[15*]C1CCS(=O)(=O)CC1,3
4899,No ,[15*][C@H]1CC1(C)C,3
4900,No ,[1*]C(=O)CCN,3
4901,No ,[5*]N1CCNC(=O)CC1[13*],3
4902,No ,[1*]C(=O)CO,3
4903,No ,[14*]c1cc2sccc2[nH]1,3
4904,No ,[5*]N1CC(C)C(=O)Nc2ccccc21,3
4905,No ,[16*]c1ccc(S(=O)(=O)C(C)C)cc1,3
4906,No ,[9*]n1ccc(=O)c([14*])n1,3
4907,No ,[15*]C1COC1,3
4908,No ,[14*]c1n[nH]c2ccc(C)cc12,3
4909,No ,[9*]n1cc([16*])c(=O)c2ccccc21,3
4910,No ,[14*]c1cn2c(C)cc(C)nc2n1,3
4911,No ,[10*]N1C(=O)C([15*])CC1C,3
4912,No ,[14*]c1cnc2ncccn12,3
4913,No ,[5*]N1CCC([15*])C(O)C1,3
4914,No ,[5*]N1CC([15*])Cc2ccccc21,3
4915,No ,[16*]c1cc(C)nc(C)c1C#N,3
4916,No ,[8*]CC(F)F,3
4917,No ,[13*]C1CCCS1(=O)=O,3
4918,No ,[5*]N1C2CCC1CC([15*])C2,3
4919,No ,[15*]C1CCc2ccc([16*])cc2C1,3
4920,No ,[5*]N1CCCC(C)c2ccccc21,3
4921,No ,[4*]CCCC(=O)O,3
4922,No ,[14*]c1cc(C)c([14*])o1,3
4923,No ,[9*]n1cnc2ccsc2c1=O,3
4924,No ,[16*]c1cc[n+]([O-])cc1,3
4925,No ,[8*]C(C)O,3
4926,No ,[5*]N1CCN(C)c2ccccc2C1,3
4927,No ,[1*]C(=O)C(C)N,3
4928,No ,[14*]c1ccc2c(Cl)ccc(Cl)c2n1,3
4929,No ,[9*]n1c(N)c([16*])c(=O)[nH]c1=O,3
4930,No ,[16*]c1ccc(C)[nH]c1=O,3
4931,No ,[9*]n1cc(Br)ccc1=O,3
4932,No ,[9*]n1ncnc1[14*],3
4933,No ,[5*]N1CCCC([15*])(C)C1,3
4934,No ,[14*]c1cc(C#N)cn1C,3
4935,No ,[5*]N1CCC([15*])C1C,3
4936,No ,[5*]N[C@@H]1c2ccccc2C[C@@H]1O,3
4937,No ,[5*]NC1c2ccccc2CC1O,3
4938,No ,[9*]n1c(C)c(C)sc1=O,3
4939,No ,[4*]CCC(=O)O,3
